ID: 69
0.50	-0.01	-0.01	-0.00
0.50	-0.06	-0.02	-0.00
0.50	-0.03	-0.01	0.01
0.50	-0.02	-0.01	0.01
0.50	-0.08	-0.02	0.02
0.50	-0.06	-0.02	0.03
0.50	-0.03	-0.01	0.02
0.50	-0.10	-0.02	0.03
0.50	-0.11	-0.02	0.03
0.50	-0.06	-0.02	0.03
0.50	-0.11	-0.03	0.03
0.50	-0.13	-0.02	0.04
0.50	-0.10	-0.02	0.04
0.50	-0.14	-0.02	0.05
0.50	-0.14	-0.01	0.05
0.50	-0.11	-0.00	0.05
0.50	-0.14	-0.01	0.05
0.50	-0.15	-0.01	0.06
0.50	-0.13	-0.00	0.07
0.50	-0.15	-0.02	0.08
0.50	-0.16	-0.01	0.09
0.50	-0.14	-0.02	0.10
0.50	-0.17	-0.02	0.11
0.50	-0.17	-0.01	0.11
0.50	-0.17	-0.01	0.13
0.50	-0.19	-0.03	0.13
0.50	-0.19	-0.01	0.13
0.50	-0.20	-0.02	0.14
0.50	-0.20	-0.02	0.14
0.50	-0.21	-0.01	0.15
0.50	-0.21	-0.01	0.16
0.50	-0.21	0.01	0.16
0.51	-0.22	0.01	0.17
0.51	-0.22	0.00	0.18
0.51	-0.24	0.01	0.18
0.51	-0.24	-0.01	0.19
0.51	-0.25	-0.03	0.19
0.51	-0.25	-0.02	0.20
0.51	-0.26	-0.04	0.21
0.51	-0.26	-0.06	0.22
0.51	-0.26	-0.05	0.22
0.51	-0.26	-0.05	0.22
0.51	-0.27	-0.03	0.23
0.51	-0.28	-0.02	0.23
0.51	-0.27	-0.04	0.23
0.51	-0.28	-0.03	0.24
0.51	-0.30	-0.03	0.24
0.51	-0.29	-0.04	0.25
0.51	-0.29	-0.02	0.25
0.51	-0.31	-0.04	0.26
0.51	-0.30	-0.05	0.26
0.51	-0.31	-0.03	0.27
0.51	-0.33	-0.05	0.27
0.51	-0.32	-0.07	0.28
0.51	-0.32	-0.06	0.29
0.51	-0.33	-0.08	0.29
0.51	-0.33	-0.06	0.30
0.51	-0.33	-0.05	0.31
0.51	-0.34	-0.06	0.31
0.51	-0.34	-0.03	0.32
0.51	-0.33	-0.00	0.33
0.51	-0.36	-0.02	0.33
0.51	-0.38	-0.01	0.34
0.51	-0.35	-0.01	0.35
0.51	-0.37	-0.04	0.36
0.51	-0.39	-0.02	0.37
0.51	-0.35	-0.04	0.38
0.51	-0.38	-0.06	0.40
0.51	-0.40	-0.05	0.41
0.51	-0.35	-0.07	0.41
0.51	-0.37	-0.09	0.43
0.51	-0.40	-0.07	0.44
0.51	-0.36	-0.09	0.45
0.51	-0.38	-0.08	0.45
0.51	-0.41	-0.08	0.47
0.51	-0.37	-0.09	0.47
0.51	-0.39	-0.09	0.48
0.51	-0.43	-0.08	0.49
0.51	-0.41	-0.08	0.49
0.51	-0.42	-0.07	0.50
0.51	-0.47	-0.07	0.50
0.51	-0.45	-0.08	0.51
0.51	-0.45	-0.09	0.53
0.51	-0.49	-0.08	0.53
0.51	-0.46	-0.06	0.54
0.51	-0.48	-0.06	0.56
0.51	-0.48	-0.06	0.57
0.51	-0.49	-0.08	0.58
0.51	-0.48	-0.09	0.60
0.51	-0.50	-0.06	0.60
0.51	-0.52	-0.09	0.61
0.51	-0.48	-0.08	0.62
0.51	-0.51	-0.07	0.62
0.51	-0.54	-0.11	0.63
0.51	-0.50	-0.07	0.64
0.51	-0.50	-0.05	0.65
0.51	-0.55	-0.07	0.66
0.51	-0.53	-0.03	0.68
0.51	-0.52	-0.01	0.68
0.51	-0.56	-0.05	0.68
0.51	-0.56	-0.04	0.70
0.51	-0.53	-0.06	0.71
0.51	-0.54	-0.06	0.71
0.51	-0.58	-0.05	0.73
0.51	-0.55	-0.06	0.74
0.51	-0.53	-0.06	0.75
0.51	-0.59	-0.06	0.76
0.51	-0.57	-0.05	0.77
0.51	-0.53	-0.03	0.79
0.51	-0.59	-0.03	0.81
0.51	-0.59	-0.03	0.82
0.51	-0.56	-0.04	0.83
0.51	-0.59	-0.03	0.86
0.51	-0.62	-0.04	0.86
0.51	-0.59	-0.05	0.88
0.51	-0.57	-0.03	0.90
0.51	-0.63	-0.03	0.90
0.51	-0.62	-0.02	0.92
0.51	-0.59	-0.02	0.93
0.51	-0.62	-0.02	0.94
0.51	-0.66	-0.03	0.95
0.51	-0.62	-0.02	0.97
0.51	-0.61	-0.01	0.98
0.51	-0.65	-0.03	0.98
0.51	-0.62	0.05	0.99
0.51	-0.60	0.05	1.01
0.52	-0.65	0.05	1.03
0.52	-0.64	0.06	1.04
0.52	-0.63	0.06	1.07
0.52	-0.67	0.05	1.07
0.52	-0.69	0.06	1.07
0.52	-0.65	0.05	1.09
0.52	-0.67	0.06	1.09
0.52	-0.70	0.07	1.08
0.52	-0.68	0.06	1.10
0.52	-0.67	0.07	1.10
0.52	-0.69	0.07	1.10
0.52	-0.72	0.06	1.11
0.52	-0.70	0.07	1.11
0.52	-0.69	0.06	1.12
0.52	-0.73	0.05	1.13
0.52	-0.72	0.05	1.14
0.52	-0.68	0.04	1.15
0.52	-0.72	0.04	1.16
0.52	-0.73	0.04	1.16
0.52	-0.69	0.03	1.18
0.52	-0.73	0.04	1.18
0.52	-0.76	0.05	1.17
0.52	-0.73	0.06	1.18
0.52	-0.74	0.07	1.18
0.52	-0.77	0.07	1.18
0.52	-0.76	0.06	1.19
0.52	-0.75	0.06	1.19
0.52	-0.78	0.06	1.20
0.52	-0.79	0.06	1.22
