xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	theta	
	 0.72785	 -0.11520	 0.77330	 0.66005	 0.53053	 0.22510	 0.81524	 -0.00917	 0.00000
	 0.55183	 -0.82863	 0.83452	 0.57547	 0.54915	 0.27574	 0.91396	 -0.86653	 0.00000
	 0.59228	 -0.84693	 0.96654	 0.25902	 0.59888	 -0.38544	 0.88965	 -0.18642	 -0.10462
	 0.55183	 -0.85382	 0.95629	 0.59514	 0.54915	 -0.38559	 0.93652	 -0.86300	 -0.12083
	 0.62754	 -0.13551	 0.91123	 0.66269	 0.72162	 -0.83464	 0.90776	 -0.86577	 0.00000
	 0.53692	 -0.84531	 0.96905	 0.38873	 0.53795	 0.52462	 0.79517	 -0.87976	 -0.09928
	 0.67124	 -0.15821	 0.83016	 0.26920	 0.49955	 0.78687	 0.95053	 -0.33939	 0.00000
	 0.53159	 -0.62178	 0.89053	 0.25232	 0.52652	 0.28968	 0.79802	 -0.18027	 0.00000
	 0.59575	 -0.85192	 0.84543	 0.23989	 0.66182	 0.53427	 0.88965	 -0.23304	 -0.17720
	 0.74106	 -0.48724	 0.80887	 0.31282	 0.49770	 0.70899	 0.97155	 -0.04314	 -0.09256
	 0.56563	 -0.62180	 0.85314	 0.00560	 0.65856	 -0.74786	 0.93455	 -0.52350	 -0.15568
	 0.56816	 -0.60062	 0.98797	 0.32414	 0.71954	 -0.71962	 0.93307	 -0.23563	 -0.14278
	 0.40043	 -0.75383	 0.95596	 0.89462	 0.74479	 -0.79290	 0.98352	 -0.88910	 -0.14533
	 0.44595	 -0.87010	 0.83025	 0.32851	 0.63062	 0.85940	 0.79429	 -0.36083	 0.00000
	 0.54493	 -0.76650	 0.95483	 0.45945	 0.66783	 -0.50759	 0.95633	 -0.41906	 -0.13619
	 0.64896	 -0.04909	 0.80243	 0.38409	 0.40860	 0.27015	 0.84571	 -0.72311	 0.00000
	 0.54651	 -0.39503	 0.99337	 0.28114	 0.69603	 -0.42409	 0.82641	 -0.61263	 -0.18223
	 0.40528	 -0.77657	 0.95162	 0.65702	 0.54954	 -0.73182	 0.83357	 -0.53917	 -0.14240
	 0.67855	 -0.75098	 0.87937	 0.71370	 0.73948	 0.74456	 0.87467	 -0.37670	 -0.36999
	 0.54469	 -0.85719	 0.78558	 0.06933	 0.49718	 -0.57243	 0.86642	 -0.26005	 0.00000
	 0.45508	 -0.31972	 0.98346	 0.45184	 0.73018	 -0.15154	 0.94721	 -0.80798	 0.00000
	 0.73847	 -0.72045	 0.97341	 0.01008	 0.47483	 0.23864	 0.96340	 -0.21882	 0.00937
	 0.59270	 -0.39747	 0.82927	 0.59621	 0.62201	 -0.38825	 0.97057	 -0.54547	 0.00000
	 0.67855	 -0.75098	 0.90223	 0.71370	 0.73134	 0.74456	 0.85815	 -0.37670	 0.00000
	 0.71100	 -0.68176	 0.87954	 0.65369	 0.37732	 -0.28764	 0.87617	 -0.81677	 -0.17840
	 0.46278	 -0.68322	 0.90540	 0.79959	 0.58543	 -0.66058	 0.89039	 -0.80472	 0.00000
	 0.55425	 -0.88095	 0.78238	 0.45558	 0.49718	 -0.12542	 0.86642	 -0.35320	 0.00000
	 0.52399	 -0.85122	 0.95553	 0.64966	 0.54954	 -0.73182	 0.83357	 -0.53917	 -0.12271
	 0.42049	 -0.77067	 0.96943	 0.27083	 0.52201	 0.52462	 0.79517	 -0.87976	 -0.11282
	 0.66552	 -0.06474	 0.80243	 0.38409	 0.72684	 0.22447	 0.98304	 -0.72311	 0.00000
	 0.40043	 -0.74175	 0.93302	 0.89189	 0.40979	 -0.79290	 0.84559	 -0.88873	 0.00000
	 0.59181	 -0.39747	 0.96490	 0.00639	 0.58380	 -0.39268	 0.86500	 -0.58008	 -0.22140
	 0.63130	 -0.70657	 0.91727	 0.34573	 0.59593	 -0.18244	 0.97416	 -0.87598	 -0.22322
	 0.56816	 -0.75900	 0.98797	 0.48412	 0.71954	 -0.50833	 0.93470	 -0.26743	 -0.10770
	 0.54493	 -0.60812	 0.95483	 0.34802	 0.66783	 -0.71889	 0.95471	 -0.41906	 -0.17025
	 0.55870	 -0.39503	 0.99337	 0.36304	 0.69603	 -0.49708	 0.82641	 -0.66311	 -0.19315
	 0.37608	 -0.77657	 0.95162	 0.64015	 0.54954	 -0.73182	 0.83357	 -0.53917	 -0.14251
	 0.67855	 -0.75098	 0.87937	 0.71370	 0.73948	 0.74456	 0.87467	 -0.37670	 -0.36999
	 0.67855	 -0.75098	 0.84938	 0.71370	 0.73948	 0.74456	 0.87467	 -0.37670	 -0.48830
	 0.67855	 -0.75098	 0.89823	 0.71370	 0.72522	 0.74456	 0.88188	 -0.37670	 -0.30623
	 0.67855	 -0.75098	 0.87937	 0.71370	 0.73948	 0.74456	 0.87467	 -0.40994	 -0.37057
	 0.56814	 -0.62173	 0.85547	 0.01208	 0.66185	 -0.74864	 0.93213	 -0.21825	 -0.17099
	 0.56565	 -0.60069	 0.98607	 0.32358	 0.71954	 -0.71885	 0.93460	 -0.54089	 -0.14471
	 0.57537	 -0.82174	 0.84543	 0.23935	 0.68795	 0.27920	 0.88965	 -0.18642	 -0.11229
	 0.56563	 -0.62180	 0.85465	 0.00560	 0.65856	 -0.74786	 0.92770	 -0.52350	 -0.15842
	 0.56147	 -0.62180	 0.91383	 0.00560	 0.65856	 -0.84646	 0.93883	 -0.52770	 -0.10710
	 0.63546	 -0.70657	 0.84785	 0.34573	 0.58006	 -0.18687	 0.86869	 -0.88628	 0.00000
	 0.74106	 -0.60196	 0.79280	 0.33364	 0.49770	 -0.79595	 0.97160	 -0.03786	 -0.09984
	 0.40043	 -0.75383	 0.95788	 0.86121	 0.74479	 0.77961	 0.98347	 -0.88276	 -0.13687
	 0.74106	 -0.60155	 0.79654	 0.31282	 0.51393	 0.70899	 0.96500	 -0.04314	 -0.42226
	 0.53506	 -0.62219	 0.88872	 0.25286	 0.49964	 0.54807	 0.80435	 -0.31752	 0.00000
	 0.63017	 -0.39295	 0.93171	 0.31816	 0.58006	 -0.18687	 0.96715	 -0.84678	 0.00000
	 0.59383	 -0.62757	 0.96490	 0.03910	 0.62201	 -0.38825	 0.87098	 -0.60921	 -0.16149
	 0.55183	 -0.67103	 0.94852	 0.60859	 0.54915	 -0.38559	 0.91396	 -0.86653	 -0.17416
	 0.71100	 -0.86191	 0.87954	 0.65520	 0.37514	 -0.28764	 0.93456	 -0.80137	 -0.16504
	 0.48768	 -0.62178	 0.90257	 0.60939	 0.37986	 0.54632	 0.79457	 -0.81807	 0.00000
	 0.71100	 -0.77279	 0.89036	 0.29716	 0.52824	 -0.28592	 0.85965	 -0.31566	 -0.30952
	 0.54493	 -0.76650	 0.95483	 0.46057	 0.65542	 -0.50759	 0.95190	 -0.41906	 -0.13416
	 0.42182	 -0.77657	 0.94028	 0.65702	 0.54631	 -0.73182	 0.83357	 -0.53917	 -0.15239
	 0.49056	 -0.65181	 0.93203	 0.45945	 0.65184	 -0.51749	 0.83357	 -0.58439	 -0.17897
	 0.52399	 -0.85122	 0.95553	 0.64966	 0.55312	 -0.59359	 0.96019	 -0.00417	 -0.12363
	 0.58836	 -0.80734	 0.96654	 0.25902	 0.59888	 -0.38544	 0.89100	 -0.18642	 -0.11484
	 0.68153	 -0.68485	 0.99486	 0.31374	 0.71670	 0.49160	 0.81714	 -0.61798	 -0.18614
	 0.59181	 -0.39747	 0.96490	 0.00639	 0.58380	 -0.39268	 0.86500	 -0.58008	 -0.22140
	 0.54493	 -0.76650	 0.95483	 0.45945	 0.66783	 -0.50759	 0.95633	 -0.39732	 -0.13593
	 0.63130	 -0.70657	 0.91727	 0.34573	 0.59593	 -0.18244	 0.97416	 -0.87598	 -0.22322
	 0.40043	 -0.75383	 0.95596	 0.89462	 0.72584	 -0.79290	 0.98699	 -0.88910	 -0.14310
	 0.65367	 -0.75460	 0.91727	 0.87824	 0.59593	 -0.10177	 0.97393	 -0.87598	 -0.22059
	 0.38144	 -0.70580	 0.94043	 0.34784	 0.74499	 -0.79290	 0.98375	 -0.89579	 -0.15490
	 0.54405	 -0.39533	 0.96490	 0.29530	 0.58380	 -0.42342	 0.86386	 -0.53831	 0.00000
	 0.59427	 -0.39717	 0.99337	 0.00425	 0.69603	 -0.39335	 0.82755	 -0.61263	 -0.21331
	 0.42049	 -0.77067	 0.96943	 0.27083	 0.52201	 0.39143	 0.80582	 -0.87976	 -0.10679
	 0.58094	 -0.60062	 0.98797	 0.32414	 0.71954	 -0.71962	 0.93307	 -0.23354	 -0.15512
	 0.59181	 -0.39747	 0.96490	 0.00639	 0.58380	 -0.39268	 0.84637	 -0.58008	 -0.22859
	 0.68153	 -0.65481	 0.99486	 0.31374	 0.71670	 0.34011	 0.83864	 -0.61798	 -0.11665
	 0.58094	 -0.60062	 0.98797	 0.32414	 0.71954	 -0.65130	 0.93307	 -0.23354	 -0.15222
	 0.62786	 -0.70963	 0.91727	 0.34573	 0.59003	 -0.13464	 0.86869	 -0.87598	 -0.21709
	 0.66062	 -0.61885	 0.87909	 0.69663	 0.73962	 0.72878	 0.87310	 -0.60493	 0.00000
	 0.67696	 -0.75098	 0.99420	 0.24293	 0.71656	 0.50738	 0.79036	 -0.42299	 -0.14544
	 0.74106	 -0.60196	 0.95974	 0.31282	 0.49770	 0.70899	 0.96765	 -0.16845	 -0.04969
	 0.58612	 -0.39747	 0.79980	 0.00099	 0.62201	 -0.38825	 0.96438	 -0.58008	 0.00000
	 0.59206	 -0.39179	 0.87937	 0.69053	 0.73875	 0.73994	 0.88108	 -0.37670	 0.00000
	 0.68076	 -0.75634	 0.95969	 0.04424	 0.69668	 -0.39054	 0.82755	 -0.61263	 -0.18823
	 0.67855	 -0.75098	 0.89823	 0.71370	 0.72522	 0.70675	 0.87491	 -0.37670	 -0.31270
	 0.67855	 -0.75098	 0.87937	 0.71370	 0.73948	 0.74456	 0.88165	 -0.38093	 -0.36949
	 0.63130	 -0.70657	 0.91727	 0.34573	 0.59593	 -0.18244	 0.97416	 -0.87598	 -0.22322
	 0.63130	 -0.70657	 0.91727	 0.37541	 0.56312	 -0.16973	 0.97416	 -0.88349	 -0.22780
	 0.54493	 -0.60812	 0.95483	 0.33167	 0.66783	 -0.71889	 0.95471	 -0.43424	 -0.17023
	 0.74106	 -0.60155	 0.79654	 0.31282	 0.51393	 0.60565	 0.96500	 -0.04314	 -0.06273
	 0.62855	 -0.70657	 0.92214	 0.27991	 0.58006	 -0.19627	 0.86869	 -0.87598	 -0.21170
	 0.54651	 -0.38321	 0.99337	 0.32898	 0.69603	 -0.41468	 0.81841	 -0.66767	 -0.19068
	 0.54651	 -0.38257	 0.99337	 0.26382	 0.66278	 -0.42409	 0.81841	 -0.61024	 -0.19236
	 0.55870	 -0.36546	 0.99337	 0.36304	 0.69603	 -0.49708	 0.82641	 -0.47690	 0.00000
	 0.67855	 -0.75098	 0.88528	 0.66462	 0.73948	 0.74456	 0.87467	 -0.37670	 -0.34933
	 0.59181	 -0.39747	 0.96490	 0.00534	 0.58380	 -0.39268	 0.86500	 -0.58008	 -0.22139
	 0.49056	 -0.65181	 0.93203	 0.45945	 0.65184	 -0.51749	 0.84757	 -0.39047	 -0.18717
	 0.67855	 -0.75098	 0.85312	 0.71370	 0.73948	 0.74456	 0.87467	 -0.57061	 -0.47162
	 0.67855	 -0.75098	 0.84938	 0.71370	 0.74225	 0.74456	 0.87676	 -0.37670	 -0.48888
	 0.55870	 -0.39503	 0.99337	 0.36304	 0.69603	 -0.49708	 0.81847	 -0.68918	 -0.18659
	 0.53506	 -0.74995	 0.87908	 0.43509	 0.52652	 0.54807	 0.87821	 -0.31752	 0.00000
	 0.67855	 -0.57799	 0.89081	 0.74711	 0.73948	 0.74456	 0.79816	 -0.43564	 0.00000
	 0.59270	 -0.60798	 0.95480	 0.31400	 0.62515	 -0.38222	 0.97859	 -0.03441	 -0.18753
	 0.73002	 -0.38266	 0.80656	 0.00830	 0.51079	 0.72549	 0.96490	 -0.59443	 0.00000
	 0.67855	 -0.80867	 0.87937	 0.71370	 0.73948	 0.74456	 0.87467	 -0.37670	 -0.34160
	 0.59380	 -0.39717	 0.97017	 0.00425	 0.69985	 -0.39335	 0.82755	 -0.61263	 -0.21618
	 0.38777	 -0.77626	 0.79472	 0.32924	 0.49544	 -0.72137	 0.83108	 -0.04314	 0.00000
	 0.73953	 -0.54584	 0.92283	 0.69578	 0.54857	 0.69935	 0.97380	 -0.53917	 -0.08317
	 0.67481	 -0.67099	 0.99486	 0.24788	 0.71685	 0.75744	 0.81714	 -0.61798	 -0.19078
	 0.67855	 -0.75098	 0.88858	 0.73402	 0.73948	 0.47872	 0.87467	 -0.37670	 -0.33719
	 0.66599	 -0.75098	 0.87937	 0.71370	 0.73948	 0.74456	 0.87467	 -0.37670	 -0.34705
	 0.67855	 -0.78208	 0.89823	 0.71370	 0.72522	 0.74456	 0.88188	 -0.37670	 -0.29144
	 0.62808	 -0.70523	 0.91727	 0.34573	 0.60223	 -0.19768	 0.97416	 -0.87261	 -0.22097
	 0.71100	 -0.77413	 0.90240	 0.65369	 0.37930	 -0.27240	 0.85965	 -0.82013	 -0.18356
	 0.67855	 -0.75098	 0.87937	 0.71370	 0.73948	 0.74456	 0.87467	 -0.37675	 -0.36999
	 0.67855	 -0.75098	 0.87937	 0.71370	 0.73824	 0.74456	 0.90017	 -0.38417	 -0.37328
	 0.64509	 -0.75098	 0.87937	 0.71370	 0.73948	 0.74456	 0.87467	 -0.56130	 -0.33847
	 0.67855	 -0.75098	 0.85312	 0.71370	 0.73948	 0.74456	 0.87467	 -0.38600	 -0.48189
	 0.67998	 -0.78210	 0.88844	 0.00705	 0.72865	 -0.43051	 0.87467	 -0.37670	 -0.25116
	 0.59038	 -0.28321	 0.96505	 0.81449	 0.58380	 0.51651	 0.86500	 -0.53788	 0.00000
	 0.67855	 -0.78208	 0.89823	 0.71370	 0.72522	 0.74456	 0.88188	 -0.42457	 -0.29256
	 0.67855	 -0.74339	 0.87937	 0.82568	 0.73948	 0.74456	 0.87467	 -0.37670	 -0.38654
	 0.67855	 -0.75098	 0.85417	 0.71370	 0.73948	 0.74456	 0.87859	 -0.37670	 -0.46937
	 0.71100	 -0.77826	 0.89036	 0.29913	 0.52824	 -0.30049	 0.88480	 -0.31566	 -0.26956
	 0.53506	 -0.67021	 0.94519	 0.25286	 0.52757	 0.54807	 0.79782	 -0.24479	 0.00000
	 0.59181	 -0.34905	 0.89154	 0.00639	 0.58073	 -0.39268	 0.86520	 -0.58008	 0.00000
	 0.74106	 -0.63845	 0.79654	 0.31282	 0.50632	 0.70899	 0.95579	 -0.04314	 -0.42028
	 0.67855	 -0.75098	 0.85312	 0.71370	 0.73555	 0.74456	 0.87467	 -0.57061	 -0.47652
	 0.63138	 -0.70657	 0.94893	 0.37541	 0.56767	 -0.19747	 0.98603	 -0.88349	 -0.18281
	 0.67847	 -0.72473	 0.87937	 0.71370	 0.73270	 0.74456	 0.87467	 -0.37670	 -0.38522
	 0.53506	 -0.62178	 0.89053	 0.25286	 0.55261	 0.54807	 0.79396	 -0.31752	 -0.25011
	 0.66599	 -0.75098	 0.87937	 0.77396	 0.73948	 0.74456	 0.87467	 -0.37670	 -0.36263
	 0.67481	 -0.67099	 0.99486	 0.24788	 0.71685	 0.75744	 0.81714	 -0.61798	 -0.19078
	 0.65367	 -0.75460	 0.91727	 0.88730	 0.59593	 -0.10177	 0.96212	 -0.87598	 -0.26016
	 0.62929	 -0.75045	 0.87809	 0.34573	 0.73585	 0.86804	 0.97469	 -0.87598	 -0.28171
	 0.68056	 -0.70710	 0.89657	 0.71331	 0.59838	 -0.34989	 0.88323	 -0.40994	 -0.28529
	 0.67855	 -0.75098	 0.84938	 0.71370	 0.74225	 0.74456	 0.87676	 -0.37670	 -0.48888
	 0.72767	 -0.81830	 0.89823	 0.71370	 0.72522	 0.74456	 0.88188	 -0.37670	 -0.45113
	 0.59270	 -0.39747	 0.96490	 0.00639	 0.63181	 -0.38825	 0.87669	 -0.58008	 -0.22465
	 0.67855	 -0.80867	 0.87937	 0.71370	 0.73789	 0.74456	 0.96853	 -0.37670	 -0.34308
	 0.67855	 -0.75098	 0.87937	 0.71370	 0.72260	 0.74456	 0.87467	 -0.40994	 -0.36978
	 0.67855	 -0.75098	 0.88528	 0.66462	 0.73948	 0.74456	 0.87467	 -0.37670	 -0.34933
	 0.63130	 -0.70657	 0.87755	 0.34594	 0.59692	 -0.15777	 0.83590	 -0.87414	 -0.29500
	 0.57407	 -0.39503	 0.98735	 0.36282	 0.69504	 -0.52175	 0.96447	 -0.50731	 -0.20742
	 0.63130	 -0.70657	 0.88953	 0.34573	 0.59874	 -0.18244	 0.96145	 -0.87598	 -0.26848
	 0.67855	 -0.75098	 0.87937	 0.71370	 0.73948	 0.74456	 0.88804	 -0.38093	 -0.36902
	 0.74106	 -0.60196	 0.79561	 0.30854	 0.49770	 0.70899	 0.97155	 -0.00318	 -0.40252
	 0.66442	 -0.75098	 0.88528	 0.66462	 0.73948	 0.54184	 0.87340	 -0.37670	 -0.32999
	 0.74106	 -0.60196	 0.79472	 0.31282	 0.49770	 0.70899	 0.97155	 -0.04314	 -0.40378
	 0.67855	 -0.75098	 0.84938	 0.70041	 0.73948	 0.74456	 0.87467	 -0.37670	 -0.48762
	 0.67855	 -0.75098	 0.89823	 0.57446	 0.72522	 0.68190	 0.88188	 -0.44258	 -0.30093
	 0.67855	 -0.75098	 0.84938	 0.71370	 0.74225	 0.74456	 0.87676	 -0.37670	 -0.48888
	 0.66485	 -0.39747	 0.96490	 0.78807	 0.58380	 0.73281	 0.87189	 -0.58008	 0.00924
	 0.59296	 -0.87608	 0.87937	 0.01425	 0.73948	 -0.38224	 0.87467	 -0.44188	 -0.18587
	 0.66599	 -0.75098	 0.87937	 0.71370	 0.72015	 0.74456	 0.87467	 -0.34625	 -0.34848
	 0.67855	 -0.77086	 0.84938	 0.71370	 0.74225	 0.74456	 0.87676	 -0.37670	 -0.48772
	 0.67855	 -0.75098	 0.85705	 0.71370	 0.73948	 0.74456	 0.87467	 -0.38600	 -0.46117
	 0.67855	 -0.75098	 0.87543	 0.71370	 0.72330	 0.74456	 0.81737	 -0.40994	 -0.38646
	 0.67855	 -0.76985	 0.87990	 0.66021	 0.73948	 0.74456	 0.87467	 -0.38600	 -0.35569
	 0.67855	 -0.75098	 0.85259	 0.71370	 0.74495	 0.74456	 0.90017	 -0.38417	 -0.48119
	 0.67855	 -0.78981	 0.84938	 0.71370	 0.74422	 0.74456	 0.87676	 -0.37670	 -0.47764
	 0.67855	 -0.75098	 0.84938	 0.71370	 0.74225	 0.74456	 0.87166	 -0.37670	 -0.48933
	 0.67855	 -0.75098	 0.84938	 0.71370	 0.72429	 0.74143	 0.87601	 -0.41058	 -0.49078
	 0.67855	 -0.77697	 0.88220	 0.68359	 0.73060	 0.74456	 0.87670	 -0.35863	 0.00000
	 0.66839	 -0.86221	 0.89823	 0.71370	 0.73465	 0.74456	 0.88287	 -0.37670	 -0.25032
	 0.73402	 -0.72942	 0.85312	 0.66191	 0.72613	 0.74456	 0.87368	 -0.57061	 -0.53898
	 0.67855	 -0.75098	 0.85417	 0.71370	 0.73948	 0.74456	 0.87859	 -0.37670	 -0.46937
	 0.74106	 -0.60155	 0.79654	 0.31282	 0.51393	 0.67582	 0.96500	 -0.04314	 -0.41299
	 0.67855	 -0.74339	 0.88355	 0.85702	 0.73948	 0.74456	 0.82677	 -0.37670	 -0.37129
	 0.67855	 -0.75106	 0.87937	 0.73239	 0.73948	 0.74456	 0.88804	 -0.31693	 -0.36850
	 0.67847	 -0.72523	 0.85312	 0.70849	 0.73948	 0.74456	 0.87467	 -0.38261	 -0.48330
	 0.67855	 -0.79934	 0.87937	 0.71370	 0.73270	 0.74456	 0.87467	 -0.56470	 0.00000
	 0.67855	 -0.75098	 0.84938	 0.71370	 0.73948	 0.63079	 0.88607	 -0.37670	 -0.49660
	 0.74106	 -0.60196	 0.79561	 0.30854	 0.49375	 0.70899	 0.97155	 -0.00318	 -0.39633
	 0.68489	 -0.74386	 0.84719	 0.29072	 0.48978	 0.70899	 0.97155	 -0.01378	 -0.39153
	 0.68047	 -0.60907	 0.79691	 0.71926	 0.73996	 0.74456	 0.87467	 -0.41708	 0.00000
	 0.67855	 -0.75098	 0.88649	 0.71370	 0.73948	 0.74456	 0.88433	 -0.37670	 -0.35091
	 0.67855	 -0.74406	 0.88528	 0.66462	 0.73948	 0.84143	 0.89565	 -0.37670	 -0.34330
	 0.73061	 -0.82537	 0.89823	 0.71370	 0.72522	 0.74456	 0.88188	 -0.37670	 -0.47697
	 0.67855	 -0.75098	 0.87937	 0.71370	 0.73948	 0.74456	 0.87467	 -0.37670	 -0.36999
	 0.66599	 -0.75098	 0.87937	 0.71370	 0.73948	 0.74456	 0.87467	 -0.39331	 -0.34732
	 0.67855	 -0.75098	 0.84938	 0.71370	 0.74225	 0.74456	 0.88462	 -0.37670	 -0.50217
	 0.72523	 -0.77718	 0.84938	 0.71085	 0.73992	 0.74456	 0.87676	 -0.37670	 -0.54214
	 0.67855	 -0.75098	 0.87937	 0.71370	 0.73948	 0.74456	 0.88804	 -0.38093	 -0.36902
	 0.68517	 -0.59526	 0.87937	 0.71370	 0.51869	 0.74456	 0.90017	 -0.38417	 -0.42758
	 0.74106	 -0.76675	 0.79472	 0.31282	 0.71440	 0.70899	 0.95507	 -0.02436	 -0.33433
	 0.70358	 -0.75098	 0.85312	 0.71370	 0.73555	 0.74456	 0.87467	 -0.57061	 -0.53786
	 0.65631	 -0.74339	 0.87937	 0.82568	 0.73948	 0.74456	 0.87064	 -0.37670	 -0.35899
	 0.73725	 -0.59708	 0.88172	 0.31282	 0.49770	 0.74324	 0.96821	 -0.33763	 -0.04815
	 0.67426	 -0.73949	 0.79237	 0.71370	 0.73948	 0.71031	 0.87799	 -0.08267	 0.00000
	 0.68024	 -0.75098	 0.84919	 0.75645	 0.71942	 0.74456	 0.86994	 -0.37670	 -0.50992
	 0.73898	 -0.60196	 0.79604	 0.31282	 0.51436	 0.70899	 0.97614	 -0.08970	 0.00000
	 0.68035	 -0.75098	 0.85551	 0.71370	 0.73948	 0.74456	 0.87467	 -0.41058	 -0.46624
